ticker,fwd_growth,mature_margin,uncertainty,note
KO,0.060,0.300,,Coca-Cola: organic rev ~5-6%/yr + pricing; long-run operating margin target ~30%
NVDA,0.210,0.400,,NVDA: AI demand strong but 28% trend not perpetual; data-center margins normalize ~40%
NKE,0.040,0.140,,Nike turnaround: look through cyclical trough (8% op margin) to structural recovery; brand moat intact (45% gross)
AMZN,0.110,0.130,,Amazon: AWS+advertising mix lifts mature op margin to ~13% (baseline 10.8% too low); ~11% growth; heavy AI capex near-term but FCF inflects as data centers monetize
MSFT,0.115,0.440,,Microsoft: decelerate 14% trend to ~11.5% (law of large numbers at $280B rev); 44% margin holds; fortress moat + Azure AI optionality justifies premium to MS but not 50x
META,0.120,0.380,,Meta: 22% recent is AI-ad surge not perpetual -> ~12% forward; Reality Labs (~$18B/yr loss) + AI capex drag mature margin to ~38% vs 42% core
GOOG,0.110,0.320,,Alphabet: ~11% growth (Search+Cloud+YouTube) tempered for antitrust/remedy overhang; 32% margin stable-to-expanding
SBUX,0.045,0.150,,Starbucks: FIX data error (reported gross=100% inflated model to 42% margin); real op margin ~14-16%; turnaround uncertain (China structural weakness + US traffic); ~5% growth 16% margin
CAVA,0.180,0.120,,CAVA: raw model 27% growth on tiny $8B base is unsustainable; decelerate to ~18%; restaurant mature op margin ~12% not 20%; early-stage so DCF hypersensitive (high uncertainty)
CMG,0.100,0.165,,Chipotle: ~11% growth (unit expansion + mid-single SSS); mature op margin ~19% (operating leverage from 16%
CRWD,0.250,0.300,,CrowdStrike: decelerate 35% to ~25%; software mature margin ~25% (GAAP suppressed by SBC); BELOW MS deliberately - 137x forward PE prices perfection
UNH,0.060,0.085,High,UNH managed-care: normalize 11% trailing growth to ~6% (MA rate/utilization pressure); margin 8.5% recovery from 8% trough; uncertainty HIGH override for DOJ criminal probe + MA scrutiny (model cant see regulatory risk -> wrongly rated Low)
PANW,0.160,0.400,Medium,Palo Alto: cybersecurity platform consolidator; ~16% growth (decel from 21%); FCF margin ~28-40% (GAAP SBC-suppressed); BELOW MS - 67x fwd / 234x trailing PE prices perfection; software-reinvestment fix applied
V,0.100,0.650,Medium,Visa payment network (COMPOUNDER; mis-tagged Financials but enterprise DCF valid - toll-taker not balance-sheet financial). Decelerate 13.5% 5y CAGR to 10% for $43B base + interchange-regulation cap; mature op margin 65% = real structural margin (recent 64.3%/peak 65.3%/AV TTM 67.3%) NOT 45% baseline nor a fraction of the 100%-gross data artifact (COGS-in-opex). Uncertainty MEDIUM override (model computed Low via large+durable bump) to match MS - DOJ debit-network antitrust suit + global interchange regulation are risks the financials cannot see.
AXP,0.100,,Medium,"American Express FINANCIAL bucket - enterprise FCFF DCF INVALID (lender/card-issuer balance sheet; model prints absurd $2238 off bogus 94% gross-margin data artifact). Value on normalized fwd P/E: ~18-19x x fwd EPS ~$17.6 = ~$320. Wide moat (closed-loop network, premium spend demographic, 34% ROE). FV $320 vs MS $310 - essentially in line. OUT-OF-MODEL (financial)."
AMD,0.220,0.300,Very High,"AMD CYCLICAL/HYPERGROWTH semi. Decelerate 23.6% 3y CAGR to 22% (datacenter GPU rips 60%+ but gaming/client/embedded slower+cyclical); mature op margin 30% (datacenter mix lifts blended 14.4% TTM toward NVDA-class but AMD wont match NVDA). Uncertainty VERY HIGH override to match MS (beta 2.49, AI execution risk vs CUDA lock-in, semi cyclicality). At these defensible inputs model prints ~$193-280; I center ~$250, MATERIALLY BELOW MS $450 - a documented optionality divergence: MS prices an aggressive AI datacenter share-gain ramp I wont pay for at Very High risk."
TSLA,,,,"TSLA OPTIONALITY - OUT-OF-MODEL (auto-flagged: market implies >=40% growth). Fundamentals-only DCF (auto+energy: 4.2% op margin, EPS $1.10, 15% growth) anchors ~$35; MS $400 = ~$1.4T is ~90% robotaxi/FSD/Optimus optionality a fundamentals DCF structurally cannot derive. No fabricated FV - record the divergence per OPTIONALITY bucket rule. Agree Narrow moat. At 372x trailing PE the car business alone cannot justify the price; the bet is autonomy+robots."
TSM,,,High,"TSMC ADR/FOREIGN - no US-GAAP fundamentals cached (files TWD as foreign private issuer) so model DCF cannot run. Value on normalized fwd P/E: fwd EPS ~$13-14 (decel 35% YoY AI-driven growth) x ~28-30x (Wide-moat leading-edge foundry monopoly, secular AI demand, 58% op margin) = ~$380-420; center ~$420. CAPPED by Taiwan geopolitical tail risk (why a Wide-moat 35%-grower trades only ~26x fwd) -> uncertainty High. FV ~$420 vs MS $428 - in line. Agree Wide moat."
PLTR,0.280,0.400,High,"Palantir HYPERGROWTH software. Decelerate +85% YoY to the 28% model cap (commercial AIP + govt Foundry support sustained high growth but off a tiny $5.2B base); software FCF margin ~40%. At max defensible inputs model prints ~$52 (1 star) = 0.34x MS $153. DELIBERATELY BELOW MS like PANW/CRWD - 97x forward / 152x trailing PE prices perfection; I will not underwrite 35%+ perpetual growth to reach $153. Agree Narrow moat + Very High/High uncertainty."
